"Continue","Devam"
"Sorry, could not retrieve your Google last name. Please try again.","Özür dileriz, Google soyadınızı alamadık. Lütfen tekrar deneyin."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Google hesabınız sitemizle ilişkilendirildi. Bundan sonra Google ile bağlan butonuyla, ya da eposta adresinize gelen kullanıcı bilgileriyle giriş yapabilirsiniz."
"You have successfully disconnected your Twitter account from our store account.","Twitter hesabınız başarıyla mağaza hesabınızdan ayrıldı."
"Twitter Connect process aborted.","Twitter bağlantı işlemi iptal edildi."
"Your Twitter account is already connected to one of our store accounts.","Twitter hesabınız sitemizdeki bir hesapla eşleşiyor."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Twitter hesabınız sitemizle ilişkilendirildi. Bundan sonra Twitter ile bağlan butonuyla, ya da eposta adresinize gelen kullanıcı bilgileriyle giriş yapabilirsiniz."
"You have successfully logged in using your Twitter account.","Twitter hesabınızla başarıyla giriş yaptınız."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","Sitemizde zaten bir hesabınızın olduğunu farkettik. Twitter hesabınızı site hesabınızla birleştirdik."
"Sorry, could not retrieve your Twitter first name. Please try again.","Özür dileriz, Twitter adınızı alamadık. Lütfen tekrar deneyin."
"Sorry, could not retrieve your Twitter last name. Please try again.","Özür dileriz, Twitter soyadınızı alamadık. Lütfen tekrar deneyin."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Twitter hesabınız sitemizle ilişkilendirildi. Bundan sonra Twitter ile bağlan butonuyla giriş yapabilirsiniz."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href=""%s"">Edit Account Information</a>.","Twitter üçüncü partinin eposta adresinize erişim izni vermediği için, size mağaza bilgilerinizi gönderemiyoruz. Mağaza bilgilerinizle giriş yapabilmek için, <a href=""%s"">Hesabım</a> sayfasında eposta ve şifre bilgilerinizi güncellemeniz gerekli."
"Google Connect","Google ile bağlan"
"Facebook Connect","Facebook ile bağlan"
"Twitter Connect","Twitter ile bağlan"
"Customer My Account Google Connect","Customer My Account Google Connect"
"Customer My Account Facebook Connect","Customer My Account Facebook Connect"
"Customer My Account Twitter Connect","Customer My Account Twitter Connect"
"Connected as %s","%s olarak bağlandı"
"Email: %s","Eposta: %s"
"Facebook #: %s","Facebook #: %s"
"Gender: %s","Cinsiyet: %s"
"Birthday: %s","Doğum günü: %s"
"You can connect store account with your Facebook account so you could login easier in the future.","Facebook hesabınızla bağlanarak sitemize daha kolay giriş yapabilirsiniz."
"Google #: %s","Google #: %s"
"You can connect store account with your Google account so you could login easier in the future.","Google hesabınızla bağlanarak sitemize daha kolay giriş yapabilirsiniz."
"Twitter #: %s","Twitter #: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","Twitter hesabınızla bağlanarak sitemize daha kolay giriş yapabilirsiniz."
"You can continue with checkout using your <strong>Google</strong> account.","<strong>Google</strong> hesabınızı kullanarak giriş yapabilir ve alışverişi bitirebilirsiniz."
"You can continue with checkout using your <strong>Facebook</strong> account.","<strong>Facebook</strong> hesabınızı kullanarak giriş yapabilir ve alışverişi bitirebilirsiniz."
"You can continue with checkout using your <strong>Twitter</strong> account.","<strong>Twitter</strong> hesabınızı kullanarak giriş yapabilir ve alışverişi bitirebilirsiniz."
"You can login using your Google account.","Google hesabınızla giriş yapabilirsiniz."
"You can login using your Facebook account.","Facebook hesabınızla giriş yapabilirsiniz."
"You can login using your Twitter account.","Twitter hesabınızla giriş yapabilirsiniz."
"You can register using your Google account.","Google hesabınızla kayıt olabilirsiniz."
"You can register using your Facebook account.","Facebook hesabınızla kayıt olabilirsiniz."
"You can register using your Twitter account.","Twitter hesabınızla kayıt olabilirsiniz."
